Team,Pace,OE,DE
Indiana,81.5,111.2,106.3
Chicago,80.7,102.1,108.6
Las Vegas,80.5,111.7,107.5
Los Angeles,80.1,108.6,112.6
Minnesota,80.0,115.4,99.3
Toronto,79.9,111.2,113.7
Atlanta,79.1,112.0,103.8
Connecticut,79.0,99.5,112.8
Dallas,78.6,111.5,105.3
New York,78.3,112.2,104.6
Phoenix,78.2,103.9,110.2
Washington,77.9,103.6,108.4
Seattle,77.7,99.3,107.8
Portland,77.6,106.0,113.5
Golden State,76.4,110.5,102.8
