date,player,tm,game,prop,line,rec,book,odds,ev,rank,in_top10,in_ev25,actual,result,units,real_odds
20260512,Angel Reese,ATL,ATL @ DAL,Points,14.5,OVER,,-110,57.2,8,True,True,12,LOSS,-1.0,False
20260512,Natasha Howard,MIN,MIN @ PHX,Points,14.5,UNDER,,-110,52.7,9,True,True,14,WIN,0.9091,False
20260512,Jonquel Jones,NY,NY @ POR,Rebounds,8.5,UNDER,,-110,48.0,10,True,True,7,WIN,0.9091,False
20260512,Marine Johannes,NY,NY @ POR,Points,15.5,UNDER,,-110,45.1,11,False,True,18,LOSS,-1.0,False
20260512,DeWanna Bonner,PHX,MIN @ PHX,Rebounds,5.5,UNDER,,-110,39.4,12,False,True,7,LOSS,-1.0,False
20260512,Rhyne Howard,ATL,ATL @ DAL,Points,16.5,OVER,,-110,35.3,13,False,True,14,LOSS,-1.0,False
20260512,Breanna Stewart,NY,NY @ POR,Points,21.5,OVER,,-110,33.3,14,False,True,16,LOSS,-1.0,False
20260512,Jordin Canada,ATL,ATL @ DAL,Points,10.5,OVER,,-110,31.7,15,False,True,19,WIN,0.9091,False
20260512,Allisha Gray,ATL,ATL @ DAL,Points,17.5,OVER,,-110,31.4,16,False,True,26,WIN,0.9091,False
20260512,Alanna Smith,DAL,ATL @ DAL,Rebounds,5.5,UNDER,,-110,28.8,17,False,True,6,LOSS,-1.0,False
20260512,Alyssa Thomas,PHX,MIN @ PHX,Points,17.5,UNDER,,-110,28.4,18,False,True,10,WIN,0.9091,False
20260513,Chennedy Carter,LV,LV @ CON,Points,11.5,OVER,,-110,83.3,1,True,True,27,WIN,0.9091,False
20260513,Dominique Malonga,SEA,SEA @ TOR,Points,15.5,UNDER,,-110,81.9,2,True,True,21,LOSS,-1.0,False
20260513,Flau'jae Johnson,SEA,SEA @ TOR,Points,14.5,UNDER,,-110,76.9,3,True,True,7,WIN,0.9091,False
20260513,Flau'jae Johnson,SEA,SEA @ TOR,Rebounds,3.5,OVER,,-110,62.5,4,True,True,6,WIN,0.9091,False
20260513,Nyara Sabally,TOR,SEA @ TOR,Points,8.5,UNDER,,-110,58.7,5,True,True,8,WIN,0.9091,False
20260513,Nyara Sabally,TOR,SEA @ TOR,Rebounds,5.5,UNDER,,-110,54.6,6,True,True,5,WIN,0.9091,False
20260513,Dearica Hamby,LA,IND @ LA,Points,15.5,OVER,,-110,52.8,7,True,True,16,WIN,0.9091,False
20260513,Dominique Malonga,SEA,SEA @ TOR,Rebounds,9.5,UNDER,,-110,47.7,8,True,True,7,WIN,0.9091,False
20260513,Nneka Ogwumike,LA,IND @ LA,Points,17.5,OVER,,-110,44.2,9,True,True,10,LOSS,-1.0,False
20260513,Kelsey Plum,LA,IND @ LA,Points,18.5,OVER,,-110,43.3,10,True,True,25,WIN,0.9091,False
20260513,Brittney Sykes,TOR,SEA @ TOR,Points,16.5,UNDER,,-110,43.0,11,False,True,18,LOSS,-1.0,False
20260513,Gabby Williams,GS,CHI @ GS,Points,12.5,UNDER,,-110,37.9,12,False,True,18,LOSS,-1.0,False
20260513,Saniya Rivers,CON,LV @ CON,Points,9.5,OVER,,-110,37.1,13,False,True,8,LOSS,-1.0,False
20260513,Caitlin Clark,IND,IND @ LA,Points,19.5,UNDER,,-110,34.4,14,False,True,24,LOSS,-1.0,False
20260513,Aneesah Morrow,CON,LV @ CON,Points,13.5,UNDER,,-110,34.2,15,False,True,16,LOSS,-1.0,False
20260513,Natisha Hiedeman,SEA,SEA @ TOR,Points,12.5,UNDER,,-110,33.2,16,False,True,5,WIN,0.9091,False
20260513,Kamilla Cardoso,CHI,CHI @ GS,Points,14.5,OVER,,-110,29.6,17,False,True,8,LOSS,-1.0,False
20260513,Brittney Sykes,TOR,SEA @ TOR,Rebounds,3.5,UNDER,,-110,28.3,18,False,True,8,LOSS,-1.0,False
20260513,Gabby Williams,GS,CHI @ GS,Rebounds,4.5,UNDER,,-110,27.9,19,False,True,5,LOSS,-1.0,False
20260513,Nneka Ogwumike,LA,IND @ LA,Rebounds,8.5,UNDER,,-110,26.7,20,False,True,5,WIN,0.9091,False
20260513,Rickea Jackson,CHI,CHI @ GS,Rebounds,4.5,UNDER,,-110,26.1,21,False,True,5,LOSS,-1.0,False
20260513,Kayla Thornton,GS,CHI @ GS,Rebounds,6.5,OVER,,-110,25.6,22,False,True,6,LOSS,-1.0,False
