Rank,Team,AdjPace
263,Seton Hall,66.6
264,Villanova,66.6
265,Furman,66.5
266,Indiana,66.5
267,Lehigh,66.5
268,Middle Tennessee,66.5
269,Nebraska,66.5
270,Ohio State,66.5
271,San Francisco,66.5
272,Texas A&M-Corpus Christi,66.5
273,UMBC,66.5
274,UTA,66.5
275,Bellarmine,66.4
276,Delaware State,66.3
277,East Tennessee State,66.3
278,North Carolina Central,66.3
279,Rhode Island,66.3
280,Stephen F. Austin,66.3
281,UTRGV,66.3
282,Virginia,66.3
283,Boston College,66.2
284,Eastern Illinois,66.2
285,Marist,66.2
286,McNeese,66.2
287,Missouri State,66.2
288,Oregon State,66.2
289,Illinois,66.1
290,Connecticut,66.0
291,North Texas,66.0
292,UNCW,66.0
293,UTEP,66.0
294,Valparaiso,66.0
295,Hampton,65.9
296,Holy Cross,65.9
297,Presbyterian College,65.9
298,Incarnate Word,65.8
299,Jacksonville State,65.8
300,Lamar,65.8
301,Loyola-Chicago,65.8
302,Robert Morris,65.8
303,Saint Mary's College,65.8
304,San Jose State,65.8
305,SIUE,65.8
306,Tennessee-Martin,65.8
307,Albany,65.7
308,Chicago State,65.7
309,North Alabama,65.7
310,Rider,65.7
311,Southeastern Louisiana,65.7
312,UCLA,65.7
313,Ball State,65.5
314,Binghamton,65.5
315,Hofstra,65.5
316,Northern Arizona,65.5
317,Pacific,65.5
318,Saint Bonaventure,65.5
319,Yale,65.5
320,Saint Peter's,65.4
321,Northwestern State,65.3
322,Purdue,65.3
323,South Alabama,65.3
324,Temple,65.3
325,Central Connecticut,65.2
326,Clemson,65.2
327,Drexel,65.2
328,Jacksonville,65.2
329,Navy,65.2
330,Wagner,65.2
331,Louisiana Tech,65.1
332,Northwestern,65.1
333,Houston,65.0
334,Green Bay,64.9
335,The Citadel,64.9
336,George Mason,64.8
337,Maryland Eastern Shore,64.8
338,Pittsburgh,64.8
339,Bryant,64.7
340,Fordham,64.6
341,Maine,64.5
342,Houston Christian,64.4
343,Liberty,64.4
344,Vermont,64.4
345,Canisius,64.3
346,Colorado State,64.3
347,Mercyhurst,64.3
348,Siena,64.2
349,Charlotte,64.1
350,Davidson,64.1
351,Fairleigh Dickinson,64.1
352,Louisiana,64.1
353,Princeton,64.1
354,West Virginia,64.1
355,Appalachian State,64.0
356,Towson,63.9
357,Delaware,63.8
358,Merrimack,63.8
359,Harvard,63.7
360,Boston University,63.5
361,New Haven,63.4
362,Northern Iowa,63.3
363,Niagara,63.2
364,Iowa,62.9
365,Minnesota,62.7
366,Florida Atlantic,70.2
367,Loyola Chicago,65.8
368,Loyola Maryland,68.4
369,Massachusetts,71.2
370,UNC Greensboro,68.5
371,UNC Wilmington,66.0
372,SIU Edwardsville,65.8
373,Kansas City,71.3
374,UL Monroe,70.8
375,Florida Gulf Coast,68.9
376,Florida International,71.3
377,Long Island University,68.0
378,St. Thomas-Minnesota,69.5
379,St. John's,70.8
380,St. Bonaventure,65.5
381,UAlbany,65.7
382,UT Martin,65.8
383,UT Rio Grande Valley,66.3
384,UT Arlington,66.5
385,App State,64.0
386,Grambling,69.3
387,Sam Houston,70.6
388,Southeast Missouri State,70.0
389,USC Upstate,69.8
390,American University,66.8
391,Detroit Mercy,69.8
392,Seattle U,69.0
393,IU Indy,75.1
394,Southern University,71.4
395,Presbyterian,65.9
396,Queens University,70.5
397,SE Louisiana,65.7
398,Mount St. Mary's,67.8
399,Saint Mary's,65.8
400,NC State,69.5
401,Pennsylvania,68.5
402,Miami,69.3
403,Saint Francis,70.0
404,Loyola Marymount,68.3
405,Arkansas Pine Bluff,71.1
406,UMass Lowell,69.0
