Rank,Team,AdjPace
262,Mercyhurst,68.9
263,Tennessee Tech,68.9
264,UMKC,68.9
265,Western Michigan,68.9
266,UNLV,68.8
267,Southeastern Louisiana,68.7
268,Western Carolina,68.7
269,Yale,68.7
270,Canisius,68.6
271,Northern Illinois,68.6
272,Robert Morris,68.6
273,Saint Bonaventure,68.6
274,Lamar,68.5
275,McNeese,68.5
276,UC Santa Barbara,68.5
277,Air Force,68.4
278,George Mason,68.4
279,Marquette,68.4
280,Tennessee-Martin,68.4
281,Washington,68.4
282,Youngstown State,68.4
283,Milwaukee,68.3
284,Northwestern State,68.3
285,William & Mary,68.3
286,FGCU,68.2
287,Marist,68.2
288,Northeastern,68.2
289,Hawaii,68.1
290,San Diego State,68.1
291,UC Irvine,68.1
292,UIC,68.1
293,Hampton,68.0
294,Western Kentucky,68.0
295,Minnesota,67.9
296,Stonehill,67.9
297,Gardner-Webb,67.8
298,Georgetown,67.8
299,South Carolina Upstate,67.8
300,Harvard,67.7
301,Nevada,67.6
302,NJIT,67.6
303,Holy Cross,67.5
304,Iona,67.5
305,Saint Thomas,67.5
306,Lindenwood,67.4
307,Loyola-Chicago,67.4
308,Rider,67.4
309,UTSA,67.4
310,Appalachian State,67.3
311,Brown,67.3
312,Saint John's,67.3
313,Davidson,67.2
314,SIUE,67.2
315,Lehigh,67.1
316,Princeton,67.0
317,Saint Joseph's,67.0
318,Austin Peay,66.9
319,Oregon State,66.9
320,Sacred Heart,66.9
321,Wofford,66.9
322,Le Moyne,66.7
323,Middle Tennessee,66.7
324,Richmond,66.7
325,UMBC,66.7
326,Liberty,66.6
327,Monmouth,66.5
328,Saint Mary's College,66.5
329,Bryant,66.4
330,Colorado State,66.4
331,Samford,66.4
332,American,66.2
333,Binghamton,66.2
334,Chattanooga,66.2
335,Jacksonville State,66.1
336,Penn,66.1
337,Saint Peter's,65.9
338,UNCG,65.9
339,Colgate,65.7
340,Wyoming,65.7
341,Campbell,65.6
342,Clemson,65.6
343,Maine,65.6
344,New Hampshire,65.6
345,New Haven,65.6
346,Lafayette,65.5
347,Rhode Island,65.4
348,George Washington,65.2
349,Quinnipiac,65.2
350,East Tennessee State,65.0
351,Hofstra,65.0
352,Army,64.9
353,Fairleigh Dickinson,64.9
354,Stony Brook,64.6
355,UMass-Lowell,64.6
356,Dartmouth,64.2
357,Loyola-Maryland,64.1
358,Drexel,63.9
359,Bucknell,62.9
360,Cornell,62.9
361,Boston University,62.0
362,Vermont,62.0
363,Albany,60.7
364,Florida Atlantic,71.7
365,Loyola Chicago,67.4
366,Loyola Maryland,64.1
367,Massachusetts,70.5
368,UNC Greensboro,65.9
369,UNC Wilmington,70.3
370,SIU Edwardsville,67.2
371,Kansas City,68.9
372,UL Monroe,74.0
373,Florida Gulf Coast,68.2
374,Florida International,75.2
375,LIU,71.3
376,St. Thomas-Minnesota,67.5
377,St. John's,67.3
378,St. Bonaventure,68.6
379,UAlbany,60.7
380,UT Martin,68.4
381,UT Rio Grande Valley,69.2
382,UT Arlington,74.1
383,App State,67.3
384,Grambling,74.8
385,Sam Houston,73.2
386,Southeast Missouri State,72.2
387,USC Upstate,67.8
388,American University,66.2
389,Detroit Mercy,72.3
390,Seattle U,73.3
391,IU Indy,72.6
392,Southern University,71.8
393,Presbyterian,71.6
394,Queens University,71.7
395,SE Louisiana,68.7
396,Mount St. Mary's,71.0
397,Saint Mary's,66.5
398,NC State,73.1
399,Pennsylvania,66.1
400,Miami,70.9
401,Saint Francis,71.3
402,Loyola Marymount,69.6
403,Arkansas Pine Bluff,72.0
404,UMass Lowell,64.6
